Gram Stain,Domain,Phylum,Class,Order,Family,Genus,Species,Organism Name,Culture Collection (Strain),GENRE Filename,HOMD Sequence ID,NCBI Taxon ID,ftp for NCBI genome,NCBI Accession,Kbase ID,HOMD HOT ID,Kbase download notes
Negative,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,diminuta,Brevundimonas diminuta,ATCC 11568,Brevundimonas_diminuta_ATCC_11568.mat                    ,SEQF2056,751586,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/035/GCF_000204035.1_ASM20403v1,'GCF_000204035.1',27521,590,
Negative,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,rectus,Campylobacter rectus,RM3267,Campylobacter_rectus_RM3267.mat                          ,SEQF1575,553218,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/175/GCF_000174175.1_ASM17417v1,'GCF_000174175.1',2258,748,
Negative,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,showae,Campylobacter showae,CSUNSWCD,Campylobacter_showae_CSUNSWCD.mat                        ,SEQF2416,1244083,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/615/GCF_000313615.1_Velvet_assembly_of_Campylobacter_showae_CSUNSWCD,'GCF_000313615.1',25852,763,
Negative,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,showae,Campylobacter showae,RM3277,Campylobacter_showae_RM3277.mat                          ,SEQF1731,553219,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/175/655/GCF_000175655.1_ASM17565v1,'GCF_000175655.1',2259,763,
Negative,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,curvus,Campylobacter curvus,,Campylobacter_curvus_525.92.mat                          ,SEQF1178,360105,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/465/GCF_000017465.2_ASM1746v2,'GCF_000017465.2',1065,580,
Negative,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,curvus,Campylobacter curvus,DSM 6644,Campylobacter_curvus_DSM_6644.mat                        ,SEQF2488,1121268,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/376/325/GCF_000376325.1_ASM37632v1,'GCF_000376325.1',29569,580,
Negative,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,concisus,Campylobacter concisus,strain 13826,Campylobacter_concisus_strain_13826.mat                  ,SEQF1177,360104,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/725/GCF_000017725.2_ASM1772v2,'GCF_000017725.2',1064,575,
Negative,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,gracilis,Campylobacter gracilis,RM3268,Campylobacter_gracilis_RM3268.mat                        ,SEQF2434,553220,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/175/875/GCF_000175875.1_ASM17587v1,'GCF_000175875.1',2260,623,
Negative,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,ureolyticus,Campylobacter ureolyticus,DSM 20703,Campylobacter_ureolyticus_DSM_20703.mat                  ,SEQF2614,1121102,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/374/605/GCF_000374605.1_ASM37460v1,'GCF_000374605.1',29563,842,
Negative,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,pylori,Helicobacter pylori,B38,Helicobacter_pylori_B38.mat                              ,SEQF1714,592205,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/345/GCF_000091345.1_ASM9134v1,'GCF_000091345.1',2573,812,
Negative,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,pylori,Helicobacter pylori,India7,Helicobacter_pylori_India7.mat                           ,SEQF2409,907238,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/185/GCF_000185185.1_ASM18518v1,'GCF_000185185.1',3668,812,
Negative,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,sp. oral taxon 041,Desulfobulbus sp. oral taxon 041,Dsb2,Desulfobulbus_oral_taxon_041_Dsb2.mat                    ,SEQF2485,1292047,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Desulfobulbus_sp._oral_taxon_041/all_assembly_versions/suppressed/GCF_000349365.1_Dsb2,'GCF_000349365.1',31873,41,
Negative,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,sp. oral taxon 041,Desulfobulbus sp. oral taxon 041,Dsb3,Desulfobulbus_oral_taxon_041_Dsb3.mat                    ,SEQF2486,1292048,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Desulfobulbus_sp._oral_taxon_041/all_assembly_versions/suppressed/GCF_000349345.1_Dsb3,'GCF_000349345.1',31874,41,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,melaninogenica,Prevotella melaninogenica,ATCC 25845,Prevotella_melaninogenica_ATCC_25845.mat                 ,SEQF1142,553174,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/405/GCF_000144405.1_ASM14440v1,'GCF_000144405.1',2241,469,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,melaninogenica,Prevotella melaninogenica,D18,Prevotella_melaninogenica_D18.mat                        ,SEQF1800,575612,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/035/GCF_000163035.1_ASM16303v1,'GCF_000163035.1',2467,469,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,veroralis,Prevotella veroralis,DSM 19559,Prevotella_veroralis_DSM_19559.mat                       ,SEQF2511,1122993,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/377/625/GCF_000377625.1_ASM37762v1,'GCF_000377625.1',29670,572,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,veroralis,Prevotella veroralis,F0319,Prevotella_veroralis_F0319.mat                           ,SEQF1663,649761,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/935/GCF_000162935.1_ASM16293v1,'GCF_000162935.1',2777,572,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,veroralis,Prevotella veroralis,JCM 6290,Prevotella_veroralis_JCM_6290.mat                        ,SEQF2688,1234673,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Prevotella_veroralis/all_assembly_versions/GCF_000613325.1_ASM61332v1,'GCF_000613325.1',242284,572,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp. oral taxon 306,Prevotella sp. oral taxon 306,F0472,Prevotella_oral_taxon_306_F0472.mat                      ,SEQF1887,1095752,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/925/GCF_000257925.1_PspF0472v1.0,'GCF_000257925.1',24178,306,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,histicola,Prevotella histicola,F0411,Prevotella_histicola_F0411.mat                           ,SEQF1852,857291,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/234/055/GCF_000234055.1_Prev_hist_F0411_V1,'GCF_000234055.1',27811,298,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,histicola,Prevotella histicola,JCM 15637 = DNF00424,Prevotella_histicola_JCM_15637_DNF00424.mat              ,SEQF2679,1236504,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/613/925/GCF_000613925.1_ASM61392v1,'GCF_000613925.1',242262,298,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,scopos,Prevotella scopus,JCM 17725,Prevotella_scopus_JCM_17725.mat                          ,SEQF2686,1236518,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/614/285/GCF_000614285.1_ASM61428v1,'GCF_000614285.1',242274,885,"Name change, Species: ""scopos"""
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,fusca,Prevotella fusca,JCM 17724,Prevotella_fusca_JCM_17724.mat                           ,SEQF2678,1236517,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/614/245/GCF_000614245.1_ASM61424v1,'GCF_000614245.1',242261,782,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,denticola,Prevotella denticola,DSM 20614,Prevotella_denticola_DSM_20614.mat                       ,SEQF2563,1122982,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/205/GCF_000421205.1_ASM42120v1,'GCF_000421205.1',207238,291,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,denticola,Prevotella denticola,F0289,Prevotella_denticola_F0289.mat                           ,SEQF1677,767031,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/395/GCF_000193395.1_ASM19339v1,'GCF_000193395.1',3366,291,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,denticola,Prevotella denticola,JCM 13449,Prevotella_denticola_JCM_13449.mat                       ,SEQF2676,1236487,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Prevotella_denticola/all_assembly_versions/GCF_000613585.1_ASM61358v1,'GCF_000613585.1',242257,291,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,multiformis,Prevotella multiformis,DSM 16608,Prevotella_multiformis_DSM_16608.mat                     ,SEQF1986,888743,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/191/065/GCF_000191065.1_ASM19106v1,'GCF_000191065.1',3604,685,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,intermedia,Prevotella intermedia,,Prevotella_intermedia_17.mat                             ,SEQF1065,246198,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/261/025/GCF_000261025.1_ASM26102v1,'GCF_000261025.1',26179,643,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,intermedia,Prevotella intermedia,ATCC 25611 = DSM 20706,Prevotella_intermedia_ATCC_25611_DSM_20706.mat           ,SEQF2554,1122984,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/065/GCF_000439065.1_ASM43906v1,'GCF_000439065.1',207239,643,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,pallens,Prevotella pallens,ATCC 700821,Prevotella_pallens_ATCC_700821.mat                       ,SEQF1989,997353,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/255/GCF_000220255.1_ASM22025v1,'GCF_000220255.1',28900,714,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,nigrescens,Prevotella nigrescens,ATCC 33563,Prevotella_nigrescens_ATCC_33563.mat                     ,SEQF1893,997352,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/235/GCF_000220235.1_ASM22023v1,'GCF_000220235.1',28899,693,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,maculosa,Prevotella maculosa,DSM 19339,Prevotella_maculosa_DSM_19339.mat                        ,SEQF2508,1122986,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/382/385/GCF_000382385.1_ASM38238v1,'GCF_000382385.1',29665,289,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,maculosa,Prevotella maculosa,JCM 15638,Prevotella_maculosa_JCM_15638.mat                        ,SEQF2680,1236506,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Prevotella_maculosa/all_assembly_versions/GCF_000613965.1_ASM61396v1,'GCF_000613965.1',242263,289,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,maculosa,Prevotella maculosa,"OT 289, F0099",Prevotella_maculosa_OT_289.mat                           ,SEQF2147,999422,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/015/GCF_000243015.1_Prev_macu_OT_289_V1,'GCF_000243015.1',28935,289,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,oris,Prevotella oris,DSM 18711,Prevotella_oris_DSM_18711.mat                            ,SEQF2510,1122989,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/377/685/GCF_000377685.1_ASM37768v1,'GCF_000377685.1',29668,311,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,oris,Prevotella oris,F0302,Prevotella_oris_F0302.mat                                ,SEQF1656,649760,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/915/GCF_000162915.1_ASM16291v1,'GCF_000162915.1',2776,311,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,oris,Prevotella oris,JCM 12252,Prevotella_oris_JCM_12252.mat                            ,SEQF2683,1235820,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Prevotella_oris/all_assembly_versions/GCF_000613505.1_ASM61350v1,'GCF_000613505.1',242267,311,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,salivae,Prevotella salivae,DSM 15606,Prevotella_salivae_DSM_15606.mat                         ,SEQF2149,888832,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/845/GCF_000185845.1_ASM18584v1,'GCF_000185845.1',3628,307,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,oulorum,Prevotella oulorum,F0390,Prevotella_oulorum_F0390.mat                             ,SEQF1691,702438,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/615/GCF_000224615.1_Prev_oulo_F0390_V1,'GCF_000224615.1',27419,288,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,oulorum,Prevotella oulorum,JCM 14966,Prevotella_oulorum_JCM_14966.mat                         ,SEQF2684,1236497,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/613/785/GCF_000613785.1_ASM61378v1,'GCF_000613785.1',242268,288,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,multisaccharivorax,Prevotella multisaccharivorax,DSM 17128,Prevotella_multisaccharivorax_DSM_17128.mat              ,SEQF1987,688246,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/235/GCF_000218235.1_ASM21823v1,'GCF_000218235.1',2974,794,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp. oral taxon 472,Prevotella sp. oral taxon 472,F0295,Prevotella_oral_taxon_472_F0295.mat                      ,SEQF1617,619693,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/495/GCF_000163495.1_ASM16349v1,'GCF_000163495.1',2638,472,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,loescheii,Prevotella loescheii,DSM 19665 = JCM 12249 = ATCC 15930,Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930.mat  ,SEQF2461,1122985,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/378/085/GCF_000378085.1_ASM37808v1,'GCF_000378085.1',29664,658,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp. oral taxon 317,Prevotella sp. oral taxon 317,F0108,Prevotella_oral_taxon_317_F0108.mat                      ,SEQF1477,575615,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/415/GCF_000162415.1_ASM16241v1,'GCF_000162415.1',2469,317,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,shahii,Prevotella shahii,JCM 12083,Prevotella_shahii_JCM_12083.mat                          ,SEQF2687,1235817,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Prevotella_shahii/all_assembly_versions/GCF_000613445.1_ASM61344v1,'GCF_000613445.1',242275,795,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,saccharolytica,Prevotella saccharolytica,JCM 17484,Prevotella_saccharolytica_JCM_17484.mat                  ,SEQF2685,1236516,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/614/205/GCF_000614205.1_ASM61420v1,'GCF_000614205.1',242273,781,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,saccharolytica,Prevotella saccharolytica,F0055,Prevotella_saccharolytica_OT_781_F0055.mat               ,SEQF1946,1127699,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/195/GCF_000318195.2_ASM31819v2,'GCF_000318195.2',29766,781,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,marshii,Prevotella marshii,DSM 16973,Prevotella_marshii_DSM_16973.mat                         ,SEQF1915,862515,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/675/GCF_000146675.1_ASM14667v1,'GCF_000146675.1',3435,665,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,marshii,Prevotella marshii,JCM 13450,Prevotella_marshii_JCM_13450.mat                         ,SEQF2681,1236489,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Prevotella_marshii/all_assembly_versions/GCF_000613625.1_ASM61362v1,'GCF_000613625.1',242264,665,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,oralis,Prevotella oralis,ATCC 33269,Prevotella_oralis_ATCC_33269.mat                         ,SEQF1988,873533,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/145/GCF_000185145.2_ASM18514v2,'GCF_000185145.2',3533,705,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,pleuritidis,Prevotella pleuritidis,F0068,Prevotella_pleuritidis_F0068.mat                         ,SEQF1935,1081904,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/468/135/GCF_000468135.1_PpleuF0068v1.0,'GCF_000468135.1',206824,303,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,enoeca,Prevotella enoeca,JCM 12259,Prevotella_enoeca_JCM_12259.mat                          ,SEQF2677,1235815,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/613/405/GCF_000613405.1_ASM61340v1,'GCF_000613405.1',242258,600,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,dentalis,Prevotella dentalis,DSM 3688,Prevotella_dentalis_DSM_3688.mat                         ,SEQF2022,908937,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/215/GCF_000220215.1_ASM22021v1,'GCF_000220215.1',28322,583,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,buccae,Prevotella buccae,D17,Prevotella_buccae_D17.mat                                ,SEQF1798,575611,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/455/GCF_000162455.1_ASM16245v1,'GCF_000162455.1',2466,560,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,baroniae,Prevotella baroniae,DSM 16972,Prevotella_baroniae_DSM_16972.mat                        ,SEQF2582,1122980,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/426/585/GCF_000426585.1_ASM42658v1,'GCF_000426585.1',207236,553,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,baroniae,Prevotella baroniae,JCM 13447,Prevotella_baroniae_JCM_13447.mat                        ,SEQF2675,1235823,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Prevotella_baroniae/all_assembly_versions/GCF_000613565.1_ASM61356v1,'GCF_000613565.1',242252,553,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,bivia,Prevotella bivia,DSM 20514,Prevotella_bivia_DSM_20514.mat                           ,SEQF2380,868129,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/262/545/GCF_000262545.1_ASM26254v1,'GCF_000262545.1',27853,556,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,bivia,Prevotella bivia,JCVIHMP010,Prevotella_bivia_JCVIHMP010.mat                          ,SEQF1797,553171,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/177/315/GCF_000177315.1_ASM17731v1,'GCF_000177315.1',2239,556,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,buccalis,Prevotella buccalis,ATCC 35310,Prevotella_buccalis_ATCC_35310.mat                       ,SEQF1799,679190,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/177/075/GCF_000177075.1_ASM17707v1,'GCF_000177075.1',2934,562,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,nanceiensis,Prevotella sp. oral taxon 299,F0039,Prevotella_oral_taxon_299_F0039.mat                      ,SEQF1452,575614,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/055/GCF_000163055.2_ASM16305v2,'GCF_000163055.2',2468,299,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,micans,Prevotella micans,DSM 21469,Prevotella_micans_DSM_21469.mat                          ,SEQF2509,1122987,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/373/705/GCF_000373705.1_ASM37370v1,'GCF_000373705.1',29666,378,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,micans,Prevotella micans,F0438,Prevotella_micans_F0438.mat                              ,SEQF1863,883158,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/035/GCF_000243035.1_Prev_mica_F0438_V1,'GCF_000243035.1',28046,378,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,micans,Prevotella micans,JCM 16134,Prevotella_micans_JCM_16134.mat                          ,SEQF2682,1236510,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Prevotella_micans/all_assembly_versions/GCF_000614105.1_ASM61410v1,'GCF_000614105.1',242265,378,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,catoniae,Porphyromonas catoniae,F0037,Porphyromonas_catoniae_F0037.mat                         ,SEQF1936,1127696,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/215/GCF_000318215.2_ASM31821v2,'GCF_000318215.2',29765,283,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,sp. oral taxon 278,Porphyromonas sp. oral taxon 278,W7784,Porphyromonas_OT_278_W7784.mat                           ,SEQF2357,1227272,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/467/855/GCF_000467855.2_ASM46785v2,'GCF_000467855.2',208207,278,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,pasteri,Porphyromonas sp. oral taxon 279,F0450,Porphyromonas_oral_taxon_279_F0450.mat                   ,SEQF1907,1125723,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/292/995/GCF_000292995.1_Psp279F0450v1.0,'GCF_000292995.1',24421,279,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,gingivalis,Porphyromonas gingivalis,ATCC 33277,Porphyromonas_gingivalis_ATCC_33277.mat                  ,SEQF1538,431947,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/505/GCF_000010505.1_ASM1050v1,'GCF_000010505.1',1446,619,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,gingivalis,Porphyromonas gingivalis,W83,Porphyromonas_gingivalis_W83.mat                         ,SEQF1064,242619,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/585/GCF_000007585.1_ASM758v1,'GCF_000007585.1',476,619,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,endodontalis,Porphyromonas endodontalis,ATCC 35406,Porphyromonas_endodontalis_ATCC_35406.mat                ,SEQF1033,553175,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/815/GCF_000174815.1_ASM17481v1,'GCF_000174815.1',2242,273,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,uenonis,Porphyromonas uenonis,60-3,Porphyromonas_uenonis_60-3.mat                           ,SEQF1796,596327,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/775/GCF_000174775.1_ASM17477v1,'GCF_000174775.1',2611,785,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,uenonis,Porphyromonas uenonis,JCM 13868,Porphyromonas_uenonis_JCM_13868.mat                      ,SEQF2674,1236493,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Porphyromonas_uenonis/all_assembly_versions/GCF_000613705.1_ASM61370v1,'GCF_000613705.1',242245,785,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,asaccharolytica,Porphyromonas asaccharolytica,DSM 20707,Porphyromonas_asaccharolytica_DSM_20707.mat              ,SEQF2160,879243,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/212/375/GCF_000212375.1_ASM21237v1,'GCF_000212375.1',3543,547,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,asaccharolytica,Porphyromonas asaccharolytica,PR426713P-I,Porphyromonas_asaccharolytica_PR426713P-I.mat            ,SEQF2145,910312,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/605/GCF_000183605.1_ASM18360v1,'GCF_000183605.1',3690,547,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Tannerella,sp. oral taxon 286,Tannerella sp. oral taxon 286,W11667,Tannerella_oral_taxon_286_W11667.mat                     ,SEQF2807,712710,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Tannerella_sp._oral_taxon_HOT-286/all_assembly_versions/GCF_001717525.1_ASM171752v1,'GCF_001717525.1',external,286,"manually uploaded genome, annotated with RAST"
